date,review_title,review_text,rating
2019-04-08T09:26:22-07:00,린지 ㅈ망겜이네,아니 내폰만 린지 껏다키면 추가리소스 3기가 다운받아라고 뜨냐 적당히 떠야지 최근들어 하루에 두세번씩 그러니 개빡치네 겜 접어란 말이냐 이러면 또 와이파이랑 데이터 확인해봐라고 하겠지 아 짜증나 죽겠네,1
2019-04-07T22:04:48-07:00,계속 튕김현상있음,"아이폰 xs맥스 유저임 어제부터
계속 팅김... 이유 모르겠음....
게임 못할정도로
팅김... 욕나옴",1
2019-04-07T16:00:21-07:00,이번 패치로 아이폰 접속은 가능하나 팅김현상이심함,"접속조차 되지 않았던 아이폰6 사용자 인데
이번 패치로 접속은 가능하나 게임내에 컨텐츠 이용을 하려면 계속 팅김 현상으로 게임을 진행할수 없습니다 (예: 상점이용이나 던전입장 엔피씨와 대화시나
일일퀘스트조차 진행할수 없습니다)

게임을 정상적으로 이용할수 있도록 조속히 개선 패치를 진행해주세요

개발사에서 이용자가 게임에 문제점 피드백이 생기면 수정 개선으로 이용할 수 있게 해주셔야죠

문제점 개선을 조속히 한다면서 이 버그하나 고칠수 있는 실력도 않되나보죠? 그렇게 운영못하면 게임 개발하지 말으셔야지 유저들 과금유도만 개발하시고
이용접속불가 팅김현상은 그냥 조속히 개선한다고 말뿐인게 1년이 다되가는군요",1
2019-04-07T04:37:27-07:00,야이 18년들아,하루에 3000mb 씩  다운하면  데이터는  무료냐???  미친놈들이  일주일에  몇개씩  빋게  하네  안드로이드는 14mb봣게  안되고  차별 존나하네,1
2019-04-07T03:15:09-07:00,두번하세요 ㅋ,"완전 잼나요  
두번하세요 ㅋ",1
2019-04-06T05:56:00-07:00,아이폰 6 팅김현상,"지도창열면 무조건 팅기고
간혹 npc눌르면 팅김
이거언제수정해주실거예요?",1
2019-04-05T16:12:02-07:00,아이폰 업데이트 제한으로 환불요청,"아이폰 업데이트가 잘 안되어서 게임을 접을려고합니다.
환불요청합니다!!!
업데이트를해도 또 하라고하는데 게임접을랍니다
환불해주십시오",4
2019-04-05T12:43:24-07:00,아이폰 사용 유저도 거래소 사용,아이폰 유저도 거래소 이용 가능하게 해주세요 ㅜ,3
2019-04-05T09:40:15-07:00,돈없는 사람하라고 만든게임 아니다,그치만 이제는 지친다,5
2019-04-05T08:40:13-07:00,으엄... 그 뭐랄까... 직업간 밸런스가 넘 엉망 같아요,"솔직히 과금은 그렇다해도

게임성이... 밸런스가 안좋음 

쉽게 말해서 직업마다 뚜렷한 장단점이 있어야하는데
그게 너무 결여됨

새로운 직업을 만드는거도 좋지만 그거보다 시급한 문제

업데이트 주구장창해도 그중에 밸런스관련보단 전부다 과금관련이라 아쉬워요 
 
동일과금 동일스펙이 안나와요 비율이 엉망이라 

돈을 써라는 문제가 아니겠지만 

돈을 써도 균형이 안 맞는건 반성해야함",2
