twit_text,date
"어제보다 순위가 내린 게임 중 가장 순위가 높은 게임은 「검은사막 모바일」(4위→5위), 30위 권에서 가장 변동폭이 큰 게임은 「블리치 - 사신 격투」(22위→27위) 입니다. 100위 권에서 가장 변동폭이 큰 게임은 「펜타스톰 for kakao(5」(54위→88위) 입니다.",오전 5:01 - 2019년 5월 13일
"오늘의 매출 1위 게임은 「리니지M」, 2위는 「블레이드&소울 레볼루션」, 3위는 「리니지2 레볼루션」, 4위는 「킹 오브 파이터 올스타」, 5위는 「검은사막 모바일」 입니다.",오전 5:01 - 2019년 5월 13일
Black Desert Mobile KR (검은사막 모바일) - TOP 1v1 PVP Arena classes list (Who ... https://youtu.be/urazbQiyPSI  @YouTubeより,오전 2:16 - 2019년 5월 13일
52탄 [옥타브 체크] 하현우(Ha Hyun Woo) - 질풍가도 (검은사막 모바일 격투가)ㅣ옥탑청년 ,오전 12:37 - 2019년 5월 13일
52탄 [옥타브 체크] 하현우(Ha Hyun Woo) - 질풍가도 (검은사막 모바일 격투가)ㅣ옥탑청년 https://sosmt.tistory.com/638 ,오전 10:29 - 2019년 5월 12일
52탄 [옥타브 체크] 하현우(Ha Hyun Woo) - 질풍가도   (검은사막 모바일 격투가)ㅣ옥탑청년 https://sosmt.tistory.com/638 ,오전 8:51 - 2019년 5월 12일
"오늘의 매출 1위 게임은 「리니지M」, 2위는 「블레이드&소울 레볼루션」, 3위는 「리니지2 레볼루션」, 4위는 「검은사막 모바일」, 5위는 「브롤스타즈」 입니다.",오전 5:01 - 2019년 5월 12일
"어제보다 순위가 내린 게임 중 가장 순위가 높은 게임은 「검은사막 모바일」(3위→4위), 30위 권에서 가장 변동폭이 큰 게임은 「신명」(12위→17위) 입니다. 100위 권에서 가장 변동폭이 큰 게임은 「냥코 대전쟁」(67위→79위) 입니다.",오전 5:01 - 2019년 5월 11일
"오늘의 매출 1위 게임은 「리니지M」, 2위는 「블레이드&소울 레볼루션」, 3위는 「리니지2 레볼루션」, 4위는 「검은사막 모바일」, 5위는 「브롤스타즈」 입니다.",오전 5:01 - 2019년 5월 11일
"어제보다 순위가 오른 게임 중 가장 순위가 높은 게임은 「검은사막 모바일」(4위→3위), 30위 권에서 가장 변동폭이 큰 게임은 「페이트/그랜드 오더」(34위→21위) 입니다. 100위 권에서 가장 변동폭이 큰 게임은 「DRAGON BALL Z 폭렬」(73위→41위) 입니다.",오전 5:01 - 2019년 5월 10일
"오늘의 매출 1위 게임은 「리니지M」, 2위는 「블레이드&소울 레볼루션」, 3위는 「검은사막 모바일」, 4위는 「브롤스타즈」, 5위는 「리니지2 레볼루션」 입니다.",오전 5:01 - 2019년 5월 10일
"어제보다 순위가 내린 게임 중 가장 순위가 높은 게임은 「검은사막 모바일」(3위→4위), 30위 권에서 가장 변동폭이 큰 게임은 「붕괴3rd」(25위→28위) 입니다. 100위 권에서 가장 변동폭이 큰 게임은 「클래시 오브 클랜」(14위→31위) 입니다.",오전 5:01 - 2019년 5월 9일
"오늘의 매출 1위 게임은 「리니지M」, 2위는 「블레이드&소울 레볼루션」, 3위는 「브롤스타즈」, 4위는 「검은사막 모바일」, 5위는 「FIFA ONLINE 4 M 」 입니다.",오전 5:01 - 2019년 5월 9일
검은사막모바일 간만에 복귀해서 캐릭터 생성하고 커스터마이징했는데 내가 좋아하는 얼굴상이라 행복하다 ㅎㅎㅎㅎㅎ 나도 이렇게 생겼으면 얼마나 삶이 즐거웠을까^0^ ,오전 12:45 - 2019년 5월 9일
Free Download 검은사막 모바일 1.21.34 APK ,오전 6:01 - 2019년 5월 8일
"오늘의 매출 1위 게임은 「리니지M」, 2위는 「블레이드&소울 레볼루션」, 3위는 「검은사막 모바일」, 4위는 「브롤스타즈」, 5위는 「FIFA ONLINE 4 M 」 입니다.",오전 5:01 - 2019년 5월 8일
"오늘의 매출 1위 게임은 「리니지M」, 2위는 「블레이드&소울 레볼루션」, 3위는 「검은사막 모바일」, 4위는 「리니지2 레볼루션」, 5위는 「브롤스타즈」 입니다.",오전 5:01 - 2019년 5월 7일
黑色沙漠mobile 5/2新增7000以上能力開放 公會王第二季 雷蒙斯戰場跨服邀請 |?い砂漠モバイル梅花|검은사막모바일 매화 https://douga.gameday-app.net/?p=70486 ,오후 3:05 - 2019년 5월 6일
"오늘의 매출 1위 게임은 「리니지M」, 2위는 「블레이드&소울 레볼루션」, 3위는 「검은사막 모바일」, 4위는 「리니지2 레볼루션」, 5위는 「브롤스타즈」 입니다.",오전 5:01 - 2019년 5월 6일
그런의미에서 검은사막(모바일말고)이랑 로스트아크는 예전에 해보니까 과금랜덤박스도 딱히없고 현질안해도 즐길수있는 선을 지키는 겜같아서 나름 맘에 들었음 현질이 아예 메리트가 없지도 않으면서도 도박겜이 되지도 않게끔,오후 9:51 - 2019년 5월 5일
"오늘의 매출 1위 게임은 「리니지M」, 2위는 「블레이드&소울 레볼루션」, 3위는 「검은사막 모바일」, 4위는 「리니지2 레볼루션」, 5위는 「브롤스타즈」 입니다.",오전 5:01 - 2019년 5월 5일
검은사막 모바일 시작할때 앞에 이벤트? 에서 뭘 많이 줘서인지는 모르겠는데 계속 하는것들이 다 (메인퀘임) 권장 전투력이이 막 방금꺼는 1500 몇인데 내꺼는 2774여,오후 5:21 - 2019년 5월 4일
"크악 검은사막 모바일 하면서 느끼는건 시끄러운 흑정령이랑 조용한 플레이어 캐릭터 조합이 맛있음 이다..,, 캐릭터 하나 키우는게 귀찮아서 최애 커스텀하려다가 망한 캐릭터만 계속 키우고 있는데 나중에 여캐도 할것 같은데 진짜 여캐 의상 빻아서... 여캐를 키울바에는 게임을 지울것 같음",오후 3:41 - 2019년 5월 4일
"오늘의 매출 1위 게임은 「리니지M」, 2위는 「블레이드&소울 레볼루션」, 3위는 「검은사막 모바일」, 4위는 「리니지2 레볼루션」, 5위는 「브롤스타즈」 입니다.",오전 5:01 - 2019년 5월 4일
"어제보다 순위가 오른 게임 중 가장 순위가 높은 게임은 「검은사막 모바일」(4위→3위), 30위 권에서 가장 변동폭이 큰 게임은 「FIFA ONLINE 4 M 」(29위→15위) 입니다. 100위 권에서 가장 변동폭이 큰 게임은 「원피스 트레저 크루즈」(124위→100위) 입니다.",오전 5:01 - 2019년 5월 3일
"오늘의 매출 1위 게임은 「리니지M」, 2위는 「블레이드&소울 레볼루션」, 3위는 「검은사막 모바일」, 4위는 「리니지2 레볼루션」, 5위는 「브롤스타즈」 입니다.",오전 5:01 - 2019년 5월 3일
