twit_text,date
#라그나로크M뮤오리진?모바일게임만해도±부업이?가능하다구?게임 시스템 보러가기?☞ http://muoriginace.tumblr.com/post/182494620218 …뮤오리진2?네임드사다리?배팅이?가능합니다게임 시스템 보러가기?☞ http://muoriginace.tumblr.com/post/182494620218 …재테크까지ː가능한?뮤온라인?프리서버?프리섭?[633759464],오후 11:33 - 2019년 2월 7일
신지..!!!아스카!!근데 나 라그나로크M 안하는뎅..쩝그래두 귀엽당 ,오전 5:41 - 2019년 2월 7일
"어제보다 순위가 내린 게임 중 가장 순위가 높은 게임은 「FIFA ONLINE 4 M 」(7위→8위), 30위 권에서 가장 변동폭이 큰 게임은 「라그나로크M : 영원한 사랑」(17위→25위) 입니다. 100위 권에서 가장 변동폭이 큰 게임은 「오버히트」(55위→82위) 입니다.",오전 4:01 - 2019년 2월 7일
라그나로크m,오전 3:26 - 2019년 2월 6일
라그나로크M이랑 에바랑 콜라보하네,오전 2:02 - 2019년 2월 5일
너무 심심해서 라그나로크m 깔고 있다;,오전 5:52 - 2019년 2월 4일
"3일 연속으로 순위가 오른 게임 중 가장 순위가 높은 게임은 「오크: 전쟁의 서막」(17위→16위→14위), 30위 권에서 가장 변동폭이 큰 게임은 「라그나로크M : 영원한 사랑」(51위→25위→19위) 입니다.",오전 4:01 - 2019년 2월 2일
겅호온라인 : 퍼즐앤드래곤 이용자 감소폭이 줄고 라그나로크M의 매출증가로 자회사 그라비티는 어닝서프라이즈. 그 덕에 4Q 매출액 QoQ 59% 영업이익 85% 증가 ,오후 11:12 - 2019년 2월 1일
네...그런것같아요 라그나로크 m인것같은데 어케 자세히 콜라보햇는지는 모르겟네요ㅠㅠ,오전 7:51 - 2019년 2월 1일
"예??그라비티 '라그나로크 M', 에반게리온과 콜라보레이션 ",오전 5:02 - 2019년 2월 1일
"어제보다 순위가 오른 게임 중 가장 순위가 높은 게임은 「리니지2 레볼루션」(5위→4위), 30위 권에서 가장 변동폭이 큰 게임은 「라그나로크M : 영원한 사랑」(51위→25위) 입니다. 100위 권에서 가장 변동폭이 큰 게임은 「제5인격」(126위→70위) 입니다.",오전 4:01 - 2019년 2월 1일
"그라비티 '라그나로크 M', 에반게리온과 콜라보레이션 http://m.gamemeca.com/view.php?gid=1526801 …...?!",오후 8:20 - 2019년 1월 31일
"[더코리아뉴스] 배순민 기자 = 라그나로크M, 일본 유명 애니메이션 IP '신세기 에반게리온'과 콜라보! ",오전 2:24 - 2019년 1월 31일
아니 시발 왜 라그나로크M을 하는데 나기사 카오루랑 제4의 사도가 나와????,오후 7:13 - 2019년 1월 30일
Download 라그나로크M : 영원한 사랑 1.0.18 APK https://nastymood.com/download-%eb%9d%bc%ea%b7%b8%eb%82%98%eb%a1%9c%ed%81%acm-%ec%98%81%ec%9b%90%ed%95%9c-%ec%82%ac%eb%9e%91-1-0-18-apk/ …,오전 6:05 - 2019년 1월 21일
"컴겜이면 오바와치 추천 하구요 폰겜 RPG 게임 하고 싶으시다면 예전에 제가 했던 라그나로크 M , 메이플 스토리 M 재밌구요 타이쿤이나 시뮬레이션 게임은 놀러와 마이홈 , 레알팜 , 아이러브커피 재밌습니당 제 갠적인 거라 언니한테 잘 맞을까 모르겠네연",오전 7:29 - 2019년 1월 19일
"어제보다 순위가 내린 게임 중 가장 순위가 높은 게임은 「페이트/그랜드 오더」(4위→7위), 30위 권에서 가장 변동폭이 큰 게임은 「에픽세븐」(17위→24위) 입니다. 100위 권에서 가장 변동폭이 큰 게임은 「라그나로크M : 영원한 사랑」(19위→35위) 입니다.",오전 4:01 - 2019년 1월 18일
라그나로크M이 출시된 국가의 게임 시장규모 ,오전 2:49 - 2019년 1월 17일
"3일 연속으로 순위가 오른 게임 중 가장 순위가 높은 게임은 「라그나로크M : 영원한 사랑」(15위→14위→13위), 30위 권에서 가장 변동폭이 큰 게임은 「소녀전선」(47위→22위→21위) 입니다.",오전 4:01 - 2019년 1월 13일
"3일 연속으로 순위가 오른 게임 중 가장 순위가 높은 게임은 「페이트/그랜드 오더」(15위→13위→4위), 30위 권에서 가장 변동폭이 큰 게임은 「라그나로크M : 영원한 사랑」(38위→15위→14위) 입니다.",오전 4:01 - 2019년 1월 12일
"[더코리아뉴스] 배순민 기자 =&nbsp;&lsquo;라그나로크M: 영원한 사랑&rsquo;이 한국, 중국, 동남아시아, 대만... ",오후 6:33 - 2019년 1월 11일
